,category
62185,1
91415,1
33649,0
82602,1
87838,1
22745,0
55371,1
4567,0
29912,0
93046,1
87496,1
48391,0
85964,1
24314,0
86559,1
96857,1
11320,0
28173,0
68388,1
7907,0
78957,1
76672,1
23221,0
25389,0
7942,0
52056,1
93380,1
5806,0
50976,1
82612,1
642,0
36751,0
84941,1
25635,0
42437,0
53203,1
4763,0
57520,1
82276,1
47192,0
77601,1
12449,0
46171,0
833,0
24800,0
49974,0
72386,1
49374,0
49355,0
23629,0
32529,0
37275,0
48747,0
77405,1
36059,0
32196,0
61966,1
19858,0
46749,0
32264,0
1321,0
1013,0
71494,1
87451,1
90202,1
36175,0
41374,0
20164,0
50784,1
68067,1
60225,1
34278,0
38873,0
71598,1
3915,0
61524,1
72088,1
90611,1
79376,1
63094,1
66903,1
63826,1
15152,0
11773,0
96205,1
60468,1
21032,0
17113,0
97044,1
69036,1
72531,1
11127,0
41642,0
6270,0
44219,0
71687,1
1398,0
45544,0
98522,1
77544,1
26494,0
45239,0
17017,0
29845,0
67887,1
29072,0
67287,1
73542,1
86615,1
39969,0
34817,0
30612,0
10392,0
36523,0
93412,1
89596,1
16850,0
49254,0
3675,0
85433,1
34508,0
2219,0
6125,0
86008,1
84270,1
4,0
90623,1
93590,1
93641,1
57404,1
90746,1
40699,0
54035,1
20795,0
13712,0
44469,0
21002,0
6859,0
68486,1
67312,1
79144,1
40585,0
28957,0
17776,0
35426,0
25008,0
75078,1
14198,0
75263,1
14332,0
35722,0
52932,1
85249,1
47936,0
79560,1
77429,1
85981,1
28043,0
53620,1
50365,1
98105,1
92096,1
54594,1
25631,0
75642,1
73643,1
18226,0
95095,1
59620,1
77435,1
11460,0
13782,0
84034,1
1509,0
47136,0
74567,1
60761,1
87989,1
13435,0
60579,1
49401,0
49692,0
23597,0
5740,0
56775,1
41074,0
26372,0
74437,1
59840,1
89549,1
71343,1
5992,0
82996,1
34856,0
68321,1
5609,0
10608,0
56234,1
58972,1
58696,1
94359,1
24783,0
97833,1
33971,0
67155,1
99165,1
10770,0
40886,0
88451,1
7730,0
37584,0
64123,1
66632,1
53325,1
52551,1
30718,0
86303,1
82085,1
60762,1
60998,1
503,0
10125,0
25294,0
61634,1
76034,1
52993,1
38255,0
24181,0
31352,0
31374,0
94704,1
8249,0
97185,1
65293,1
91148,1
81107,1
58073,1
47841,0
71668,1
85873,1
1239,0
5943,0
24092,0
76767,1
64931,1
3919,0
65921,1
46237,0
97085,1
36325,0
24086,0
46730,0
70260,1
47671,0
18238,0
89623,1
12445,0
65745,1
48060,0
42972,0
69535,1
93039,1
76705,1
59810,1
79848,1
3105,0
85411,1
54769,1
18168,0
58194,1
21364,0
44976,0
24794,0
66809,1
2523,0
74725,1
24081,0
87250,1
48086,0
98967,1
6206,0
82935,1
34846,0
1258,0
58296,1
91122,1
5378,0
4588,0
7615,0
50542,1
46630,0
65662,1
74952,1
53706,1
87619,1
24001,0
28965,0
12304,0
49769,0
30837,0
18795,0
16310,0
94774,1
36024,0
17556,0
28458,0
15286,0
70811,1
17554,0
18490,0
56125,1
17768,0
18297,0
10014,0
26567,0
94303,1
94613,1
34100,0
41064,0
18340,0
59925,1
63639,1
60984,1
80058,1
22340,0
8582,0
48944,0
80045,1
84057,1
93007,1
99008,1
16773,0
99380,1
78019,1
22403,0
77395,1
68803,1
67309,1
84864,1
34136,0
1724,0
83137,1
60117,1
9409,0
38916,0
1383,0
99941,1
42083,0
45765,0
83589,1
1907,0
45984,0
71216,1
47914,0
50515,1
93755,1
88060,1
15043,0
15416,0
35167,0
85890,1
66887,1
53464,1
86760,1
25188,0
96258,1
99450,1
38072,0
47280,0
21366,0
43453,0
15055,0
77158,1
44346,0
17976,0
96619,1
29170,0
25849,0
28509,0
11565,0
89977,1
87726,1
69565,1
56603,1
51054,1
66629,1
76440,1
74882,1
30303,0
79960,1
27112,0
52690,1
23601,0
99988,1
88232,1
24986,0
73078,1
38624,0
33297,0
15594,0
15121,0
62889,1
52702,1
245,0
91745,1
5845,0
10490,0
64255,1
14452,0
72863,1
24712,0
19103,0
17903,0
94479,1
96819,1
55991,1
9861,0
27445,0
27399,0
14409,0
43627,0
26545,0
10780,0
10059,0
21863,0
76870,1
76388,1
26508,0
49175,0
9755,0
90534,1
43430,0
79334,1
75172,1
76100,1
39251,0
92176,1
43521,0
67306,1
25278,0
45561,0
39550,0
4078,0
90615,1
36255,0
65614,1
69014,1
9812,0
71984,1
41168,0
32570,0
97513,1
14104,0
34460,0
99666,1
30715,0
88767,1
39405,0
13811,0
16188,0
72073,1
68796,1
94398,1
59323,1
36312,0
64406,1
4185,0
31555,0
96365,1
80786,1
55397,1
25695,0
77888,1
82867,1
71728,1
63177,1
42825,0
12881,0
46244,0
86804,1
7226,0
71813,1
72483,1
35348,0
34518,0
12919,0
64004,1
66959,1
49870,0
44772,0
11564,0
30459,0
19873,0
73456,1
78126,1
40411,0
45214,0
63937,1
13410,0
70152,1
76866,1
8078,0
2648,0
13804,0
84936,1
99507,1
40850,0
44461,0
77509,1
23818,0
9902,0
98890,1
48848,0
87899,1
90783,1
85904,1
53300,1
15680,0
77201,1
37537,0
93796,1
47644,0
27355,0
17593,0
9521,0
70470,1
39067,0
630,0
74645,1
86027,1
76671,1
95131,1
96891,1
43135,0
92834,1
86753,1
21503,0
36183,0
21240,0
39105,0
15850,0
25160,0
36949,0
39153,0
98872,1
17998,0
26390,0
15409,0
57096,1
76985,1
2101,0
30209,0
83781,1
16514,0
49943,0
27598,0
6137,0
19611,0
45850,0
75679,1
99441,1
60094,1
23660,0
74474,1
83429,1
8627,0
19178,0
71202,1
43960,0
43187,0
1684,0
55805,1
94768,1
83218,1
51919,1
196,0
17646,0
28925,0
24393,0
84365,1
6532,0
27528,0
41312,0
55319,1
59827,1
48566,0
26607,0
61688,1
35989,0
16571,0
93052,1
91910,1
3071,0
65565,1
23120,0
6622,0
56716,1
9464,0
30391,0
94132,1
9081,0
79048,1
69940,1
45568,0
36664,0
44287,0
82664,1
25337,0
85435,1
72584,1
87098,1
2997,0
11525,0
68891,1
45191,0
97082,1
85120,1
99960,1
43943,0
29003,0
78682,1
42999,0
15292,0
44883,0
69647,1
67848,1
49562,0
88590,1
65571,1
88771,1
71133,1
5638,0
4358,0
21881,0
4335,0
39536,0
85271,1
78635,1
15014,0
54119,1
42340,0
97025,1
46601,0
64383,1
69331,1
92995,1
5424,0
47369,0
25788,0
50651,1
93040,1
98305,1
21165,0
6424,0
75850,1
82149,1
85943,1
73591,1
8177,0
81002,1
8069,0
65026,1
26375,0
60301,1
2553,0
52032,1
84623,1
17498,0
76238,1
37748,0
36034,0
21174,0
64756,1
68138,1
13134,0
27120,0
69590,1
16233,0
95122,1
62629,1
86955,1
51010,1
13895,0
15523,0
84013,1
75594,1
1389,0
50118,1
45511,0
98597,1
43250,0
78090,1
57828,1
73628,1
24236,0
79588,1
16383,0
83946,1
15720,0
74416,1
38742,0
28125,0
42236,0
16813,0
73192,1
86946,1
24912,0
46052,0
45998,0
84228,1
27109,0
63102,1
46138,0
32878,0
71481,1
74371,1
90527,1
53879,1
87106,1
78995,1
38249,0
95848,1
18989,0
28579,0
52502,1
39865,0
85500,1
54908,1
26948,0
35646,0
87408,1
66099,1
60562,1
21524,0
51207,1
13945,0
75951,1
43909,0
19149,0
28626,0
75934,1
67307,1
78242,1
53361,1
42694,0
37755,0
40534,0
5684,0
88832,1
8626,0
29471,0
10531,0
60713,1
47392,0
73165,1
50833,1
21142,0
40210,0
37674,0
89965,1
80495,1
47294,0
74588,1
34935,0
86140,1
86772,1
82790,1
27033,0
67545,1
20052,0
51046,1
78064,1
68251,1
76927,1
75258,1
24146,0
86554,1
16492,0
41407,0
71500,1
75656,1
47497,0
18021,0
89572,1
34976,0
47793,0
36033,0
42643,0
29927,0
22045,0
8639,0
44752,0
92098,1
44365,0
22680,0
32365,0
69682,1
16908,0
16065,0
31047,0
12704,0
3574,0
16537,0
13312,0
53827,1
62227,1
52209,1
5524,0
73607,1
17236,0
18539,0
71917,1
16046,0
27450,0
72755,1
53710,1
72496,1
6818,0
52055,1
71482,1
54129,1
12654,0
36690,0
56401,1
63237,1
32868,0
20781,0
85814,1
76439,1
62343,1
94173,1
61011,1
62566,1
88730,1
58329,1
29350,0
50646,1
2143,0
41117,0
24340,0
77778,1
35470,0
83987,1
21838,0
45609,0
79983,1
18153,0
23340,0
41678,0
76074,1
32134,0
24262,0
28326,0
14616,0
47862,0
3924,0
30498,0
26506,0
78925,1
27851,0
50518,1
4738,0
24845,0
64103,1
17734,0
29677,0
1646,0
3640,0
64736,1
17085,0
42962,0
50479,1
30726,0
11913,0
34421,0
95909,1
43502,0
67875,1
66616,1
72618,1
95401,1
29441,0
90977,1
40209,0
64594,1
32499,0
29688,0
76038,1
16636,0
95825,1
7693,0
40560,0
71293,1
11789,0
50880,1
91611,1
74720,1
97963,1
93481,1
84947,1
1390,0
51389,1
29122,0
97236,1
27808,0
87467,1
64054,1
84170,1
47967,0
7118,0
33071,0
17084,0
27548,0
98383,1
60060,1
88793,1
10857,0
98320,1
41955,0
14796,0
8141,0
19471,0
70819,1
40494,0
23039,0
8286,0
55311,1
38338,0
63579,1
72622,1
23067,0
11795,0
84707,1
63204,1
16574,0
38452,0
40821,0
31351,0
58805,1
15082,0
47996,0
36158,0
57822,1
6712,0
665,0
12362,0
9658,0
32405,0
65120,1
80209,1
60707,1
25507,0
62221,1
56450,1
99135,1
94565,1
54481,1
22086,0
86392,1
64206,1
31981,0
62077,1
12312,0
82211,1
14608,0
73386,1
59643,1
91440,1
16907,0
80643,1
90303,1
72812,1
99646,1
4847,0
67459,1
39637,0
6072,0
3850,0
69048,1
59234,1
85118,1
99315,1
34687,0
87994,1
54036,1
92954,1
50400,1
36363,0
18314,0
92510,1
89909,1
79810,1
41989,0
37541,0
42923,0
68119,1
64148,1
59756,1
91640,1
12763,0
63664,1
15941,0
13679,0
68249,1
31373,0
30186,0
73880,1
99931,1
87572,1
83155,1
54645,1
94761,1
37809,0
35350,0
87532,1
87585,1
75129,1
24358,0
54502,1
70915,1
19962,0
78798,1
21513,0
49136,0
44325,0
22141,0
31857,0
93950,1
8084,0
4345,0
1993,0
17972,0
68414,1
64744,1
44127,0
8179,0
4216,0
82730,1
99846,1
95532,1
5454,0
31572,0
41662,0
23179,0
73270,1
99681,1
82696,1
2001,0
12232,0
28276,0
84026,1
89684,1
78552,1
17871,0
50453,1
23401,0
78926,1
17066,0
16541,0
94767,1
11769,0
64692,1
50866,1
8052,0
567,0
3405,0
82248,1
95612,1
83709,1
34491,0
44581,0
50945,1
44050,0
82718,1
39050,0
72729,1
27747,0
77298,1
40388,0
86953,1
53289,1
28672,0
16447,0
60606,1
34991,0
17677,0
5163,0
738,0
26137,0
76685,1
32990,0
70064,1
42058,0
53562,1
41001,0
49125,0
92233,1
93514,1
28990,0
98055,1
59268,1
16742,0
11734,0
26807,0
36165,0
13688,0
1181,0
27056,0
34285,0
77270,1
5567,0
46141,0
29712,0
77658,1
8372,0
71802,1
39858,0
14749,0
85189,1
13883,0
29822,0
13292,0
98578,1
67872,1
93125,1
78415,1
37250,0
27317,0
35876,0
10415,0
79659,1
90134,1
74133,1
45680,0
25424,0
36816,0
13549,0
89787,1
58452,1
34272,0
47035,0
71993,1
7643,0
99286,1
49038,0
76269,1
2425,0
89298,1
85617,1
21417,0
52140,1
62908,1
94495,1
48916,0
97306,1
29059,0
28848,0
16063,0
15136,0
96527,1
60879,1
64616,1
71688,1
73317,1
80430,1
96256,1
39850,0
99292,1
19656,0
38081,0
26664,0
32022,0
70762,1
5489,0
98479,1
42518,0
11009,0
25821,0
6642,0
6368,0
74057,1
37571,0
22082,0
99843,1
37340,0
56764,1
31732,0
6957,0
83028,1
43878,0
69230,1
55265,1
87124,1
74460,1
12573,0
14561,0
774,0
3162,0
91291,1
38888,0
59220,1
76881,1
88564,1
15515,0
98930,1
64248,1
81097,1
97611,1
7153,0
54513,1
10744,0
29109,0
83642,1
19032,0
53834,1
6007,0
71013,1
11044,0
40765,0
92782,1
68015,1
19014,0
51008,1
9027,0
60812,1
23300,0
42798,0
58861,1
78683,1
34187,0
29501,0
98094,1
30334,0
71258,1
21676,0
54976,1
83245,1
36084,0
69646,1
56784,1
39386,0
78416,1
84164,1
91807,1
89110,1
63348,1
93458,1
62047,1
79304,1
80678,1
9926,0
43081,0
53450,1
1090,0
18343,0
13205,0
98759,1
25824,0
20834,0
96066,1
5991,0
37910,0
85825,1
2498,0
68054,1
29590,0
89701,1
59481,1
14488,0
14842,0
48959,0
40801,0
60150,1
8645,0
23311,0
58710,1
96600,1
5866,0
92352,1
21640,0
46316,0
55219,1
50104,1
30050,0
20143,0
7873,0
10738,0
38013,0
14387,0
22636,0
90669,1
82515,1
54943,1
20916,0
5707,0
62968,1
83990,1
20050,0
55968,1
14086,0
43834,0
22852,0
87633,1
73294,1
84386,1
85575,1
92681,1
14398,0
69733,1
94057,1
87384,1
45661,0
96293,1
33907,0
19842,0
18104,0
14568,0
86622,1
18551,0
48131,0
8411,0
66606,1
28608,0
92724,1
38364,0
67067,1
29010,0
30037,0
44638,0
51062,1
40485,0
72710,1
95683,1
43160,0
5302,0
64284,1
26750,0
64076,1
25553,0
9751,0
46236,0
34569,0
52574,1
91049,1
66241,1
26208,0
63683,1
69814,1
80364,1
23985,0
14819,0
76246,1
64242,1
33896,0
67057,1
79384,1
35241,0
17689,0
47525,0
45146,0
94674,1
78646,1
6077,0
35201,0
24719,0
37557,0
36162,0
5350,0
99652,1
82743,1
38304,0
72743,1
44375,0
44672,0
84899,1
27811,0
49455,0
94299,1
79544,1
8259,0
31473,0
1402,0
15728,0
88013,1
19189,0
47209,0
20616,0
67436,1
31313,0
53678,1
59762,1
74835,1
52762,1
81026,1
14981,0
116,0
58058,1
33030,0
16550,0
53529,1
25330,0
26052,0
15499,0
32161,0
21392,0
29199,0
42795,0
79337,1
6143,0
94344,1
71298,1
23493,0
55778,1
65892,1
45257,0
3693,0
37377,0
53434,1
25182,0
61725,1
24398,0
23797,0
20510,0
53323,1
48573,0
69450,1
11602,0
72236,1
96961,1
65406,1
13473,0
65226,1
46616,0
10108,0
83483,1
41021,0
13586,0
45602,0
79254,1
27000,0
64783,1
41986,0
75863,1
76287,1
78185,1
60405,1
80092,1
35337,0
63079,1
66711,1
38953,0
33420,0
90095,1
59773,1
85822,1
10483,0
42693,0
55448,1
79038,1
26670,0
55708,1
71858,1
75963,1
87329,1
38802,0
992,0
27909,0
43905,0
69589,1
2252,0
86285,1
87192,1
81864,1
41328,0
9396,0
68033,1
82285,1
74493,1
67514,1
7221,0
37828,0
66450,1
718,0
89857,1
98380,1
15663,0
61993,1
15341,0
66936,1
30896,0
71178,1
2587,0
37573,0
62213,1
31651,0
77688,1
6210,0
52407,1
58217,1
13124,0
73022,1
65105,1
38689,0
4202,0
50465,1
64110,1
23292,0
90187,1
9046,0
3017,0
27948,0
22816,0
87243,1
24900,0
19624,0
80255,1
39212,0
29247,0
25634,0
37194,0
40001,0
2790,0
21483,0
88605,1
86219,1
55210,1
12964,0
27175,0
20797,0
56608,1
41018,0
37515,0
66136,1
95533,1
2738,0
81234,1
12742,0
93704,1
90288,1
82852,1
54169,1
57388,1
70961,1
7678,0
70287,1
7229,0
97624,1
35550,0
39188,0
58421,1
43601,0
26492,0
18422,0
71358,1
68875,1
61492,1
67881,1
72970,1
94110,1
95964,1
98862,1
43692,0
21221,0
25135,0
52806,1
6381,0
27667,0
18743,0
43242,0
75522,1
67151,1
92210,1
52659,1
14837,0
65935,1
70060,1
55082,1
83602,1
21911,0
66169,1
97010,1
90591,1
1438,0
10318,0
5999,0
25191,0
37260,0
91751,1
45254,0
33291,0
5066,0
15403,0
35328,0
12119,0
19947,0
57676,1
38100,0
45703,0
40950,0
35332,0
52704,1
3177,0
58708,1
11006,0
75203,1
98007,1
26150,0
11953,0
19535,0
6550,0
56822,1
62291,1
54092,1
44775,0
64448,1
15981,0
33899,0
52245,1
51255,1
51454,1
72589,1
22286,0
62832,1
88169,1
85250,1
72120,1
35997,0
93625,1
61757,1
48504,0
65860,1
25035,0
87324,1
54472,1
44130,0
41379,0
85383,1
66983,1
33892,0
14345,0
22002,0
40545,0
85571,1
94143,1
44698,0
93616,1
24970,0
62396,1
48486,0
44424,0
91589,1
83215,1
69709,1
15745,0
48001,0
67749,1
30475,0
42926,0
22752,0
23741,0
52570,1
92189,1
94679,1
22627,0
81526,1
56375,1
24966,0
27655,0
14637,0
77985,1
69736,1
83998,1
32688,0
41966,0
83024,1
7192,0
5941,0
22318,0
75036,1
16443,0
95843,1
71863,1
46024,0
86046,1
79307,1
52847,1
40259,0
54929,1
92009,1
45023,0
67451,1
63413,1
81162,1
18230,0
45396,0
3972,0
97107,1
93440,1
4496,0
9580,0
29422,0
45456,0
92558,1
89762,1
1246,0
17552,0
38973,0
29917,0
24014,0
26772,0
25839,0
28727,0
84221,1
5375,0
30299,0
83517,1
42855,0
2775,0
4704,0
86863,1
20314,0
54627,1
82874,1
37068,0
19037,0
40024,0
24776,0
66496,1
85712,1
40460,0
92058,1
52792,1
81437,1
12295,0
80529,1
92969,1
49659,0
97798,1
24189,0
9442,0
48669,0
66438,1
56259,1
3517,0
22215,0
79493,1
10183,0
31716,0
9212,0
25354,0
28356,0
14477,0
86232,1
61277,1
37750,0
32362,0
14927,0
81848,1
11688,0
30955,0
23769,0
92157,1
71649,1
86819,1
31537,0
21735,0
99320,1
55280,1
43853,0
95167,1
97345,1
48850,0
8124,0
40223,0
33486,0
57965,1
510,0
91274,1
58592,1
26317,0
37082,0
85083,1
53065,1
17569,0
67245,1
69878,1
43061,0
35957,0
39950,0
20053,0
38201,0
1465,0
27924,0
67834,1
75613,1
1990,0
41481,0
58372,1
34420,0
26068,0
21284,0
39435,0
66845,1
78471,1
93958,1
70256,1
95184,1
21194,0
97822,1
41231,0
59853,1
93425,1
22548,0
32021,0
62153,1
77963,1
46243,0
78527,1
53585,1
96945,1
58577,1
17561,0
58327,1
60973,1
6595,0
76119,1
67516,1
69297,1
69918,1
96257,1
47641,0
46687,0
51041,1
38462,0
8162,0
18639,0
91847,1
95741,1
95371,1
33002,0
26413,0
52478,1
76115,1
33834,0
97649,1
35057,0
54662,1
53667,1
97474,1
63682,1
62266,1
26397,0
81612,1
64314,1
5223,0
18211,0
24870,0
90052,1
76291,1
67811,1
18684,0
35021,0
50307,1
99461,1
48865,0
97030,1
54541,1
21602,0
16262,0
6990,0
70971,1
1047,0
25865,0
7496,0
366,0
43267,0
79178,1
52328,1
86270,1
42062,0
5153,0
16062,0
94952,1
6486,0
65382,1
1904,0
30395,0
47273,0
12335,0
6649,0
37563,0
96451,1
26841,0
82002,1
63026,1
4388,0
3248,0
29167,0
79595,1
24030,0
70222,1
78662,1
23355,0
46902,0
5780,0
94392,1
15430,0
62691,1
17979,0
52642,1
70451,1
62484,1
44154,0
80642,1
57946,1
53024,1
86196,1
32230,0
96476,1
17540,0
28859,0
96783,1
51927,1
46453,0
54434,1
52618,1
76047,1
62539,1
69206,1
60970,1
14197,0
64499,1
50740,1
19374,0
9874,0
33428,0
54410,1
74217,1
11983,0
68943,1
52162,1
51487,1
16787,0
77102,1
60752,1
20124,0
91726,1
40753,0
5769,0
23683,0
8681,0
21563,0
12686,0
5071,0
15784,0
64449,1
16403,0
92050,1
29429,0
70464,1
44571,0
945,0
91792,1
65781,1
81730,1
74536,1
98039,1
16127,0
84920,1
65761,1
45857,0
59025,1
67584,1
6012,0
33978,0
64169,1
16563,0
41260,0
89335,1
7471,0
37219,0
17537,0
22952,0
40795,0
28938,0
1325,0
70861,1
24835,0
52182,1
43989,0
57165,1
18435,0
57793,1
57312,1
57360,1
26901,0
78828,1
36214,0
97930,1
24999,0
84790,1
15269,0
35843,0
88768,1
68410,1
60832,1
6331,0
51165,1
83013,1
21145,0
19418,0
15695,0
14841,0
71673,1
132,0
65749,1
57952,1
48961,0
2823,0
77084,1
26522,0
19854,0
59087,1
35208,0
57364,1
68571,1
68094,1
71803,1
87341,1
47496,0
17902,0
69628,1
2176,0
60163,1
15170,0
89745,1
91460,1
93494,1
27410,0
58952,1
88683,1
83979,1
45816,0
25324,0
22003,0
90519,1
98908,1
70327,1
6455,0
4012,0
83943,1
89403,1
32759,0
1351,0
51852,1
28952,0
94957,1
16923,0
98065,1
49179,0
82350,1
36210,0
38806,0
69259,1
69922,1
45578,0
74174,1
83521,1
22652,0
34541,0
64687,1
8915,0
98104,1
62242,1
61128,1
76887,1
69416,1
10251,0
18970,0
64121,1
90371,1
84012,1
1219,0
32069,0
88035,1
72354,1
64683,1
21458,0
95538,1
78074,1
47987,0
99176,1
62285,1
9119,0
11605,0
25802,0
3529,0
24890,0
43660,0
5405,0
33188,0
16405,0
15522,0
13979,0
64290,1
66503,1
37085,0
68379,1
60520,1
43008,0
89635,1
26079,0
53530,1
95705,1
30754,0
40615,0
29058,0
12635,0
44173,0
98347,1
93343,1
47492,0
20015,0
24762,0
35592,0
17332,0
13268,0
80033,1
35175,0
19647,0
72500,1
77701,1
74259,1
84724,1
22905,0
41232,0
54837,1
15042,0
80049,1
48590,0
44946,0
12114,0
11497,0
32392,0
44306,0
6665,0
24292,0
2069,0
96909,1
44211,0
12977,0
16166,0
44036,0
93574,1
78686,1
9708,0
44848,0
50685,1
75034,1
40531,0
90947,1
2600,0
46291,0
5068,0
69722,1
89425,1
77570,1
37411,0
39334,0
19812,0
25308,0
25654,0
38718,0
70467,1
68031,1
9582,0
90093,1
50955,1
12021,0
84465,1
4608,0
15119,0
51385,1
13257,0
86042,1
39108,0
62685,1
51736,1
22272,0
25003,0
2435,0
16824,0
49830,0
5058,0
38030,0
99949,1
15682,0
75712,1
43992,0
20047,0
16096,0
47476,0
13942,0
78499,1
80455,1
99891,1
91988,1
15963,0
44027,0
730,0
75611,1
8675,0
25838,0
8769,0
34123,0
27661,0
76862,1
44980,0
59372,1
36919,0
42445,0
56581,1
63057,1
1100,0
1540,0
13072,0
63477,1
34386,0
59458,1
94895,1
51328,1
11344,0
4928,0
93885,1
81568,1
53410,1
93806,1
78872,1
36457,0
62537,1
56232,1
27116,0
54441,1
90573,1
41308,0
54855,1
40054,0
38254,0
76575,1
906,0
77240,1
57020,1
19537,0
24257,0
86036,1
18948,0
71270,1
77835,1
20862,0
94903,1
73717,1
84176,1
47040,0
21106,0
27871,0
79701,1
60276,1
28783,0
22798,0
67013,1
65500,1
79381,1
29774,0
68477,1
14852,0
72049,1
10176,0
64919,1
23590,0
25517,0
17464,0
11969,0
54870,1
15888,0
14513,0
80333,1
66867,1
67532,1
2332,0
27287,0
80764,1
5975,0
63740,1
87340,1
58287,1
56996,1
11768,0
51309,1
68047,1
45303,0
86940,1
39504,0
99736,1
33649,0
82602,1
85817,1
55371,1
93626,1
30857,0
4567,0
99150,1
55426,1
87496,1
41454,0
13619,0
1999,0
55918,1
39840,0
82213,1
3650,0
75067,1
86559,1
96857,1
37389,0
11320,0
7907,0
18984,0
77491,1
23221,0
25389,0
52056,1
50976,1
22568,0
642,0
84941,1
25635,0
42437,0
47192,0
61977,1
12449,0
98311,1
49974,0
72386,1
49374,0
32529,0
77405,1
4930,0
32196,0
61966,1
46749,0
71494,1
87451,1
53379,1
764,0
20164,0
50784,1
68067,1
36708,0
71598,1
3915,0
61524,1
76123,1
72088,1
79376,1
63094,1
63826,1
22800,0
11773,0
96205,1
38416,0
35317,0
81136,1
69036,1
41642,0
6270,0
59006,1
39518,0
18143,0
45544,0
77544,1
69428,1
64416,1
90843,1
5764,0
74770,1
42290,0
67887,1
29072,0
67287,1
73542,1
86615,1
30612,0
10392,0
36523,0
19058,0
89596,1
81363,1
70131,1
5366,0
49254,0
3675,0
85433,1
34508,0
2219,0
12484,0
86008,1
11435,0
59883,1
16700,0
35833,0
93590,1
93641,1
57404,1
84259,1
50488,1
90746,1
40699,0
54035,1
24863,0
44469,0
21002,0
9076,0
6859,0
68486,1
91140,1
67312,1
93924,1
79144,1
28050,0
21900,0
28957,0
8271,0
64348,1
21021,0
17776,0
98710,1
25008,0
75078,1
14198,0
85938,1
64163,1
38791,0
1327,0
89575,1
79560,1
90631,1
85981,1
28043,0
91473,1
92096,1
54594,1
75642,1
63528,1
73643,1
18226,0
11460,0
94230,1
82823,1
6822,0
9518,0
1509,0
47414,0
2642,0
99764,1
47136,0
60761,1
17706,0
87989,1
50321,1
45132,0
13435,0
46362,0
60579,1
49692,0
23597,0
13487,0
5740,0
34601,0
56775,1
59840,1
65404,1
75003,1
5992,0
68321,1
82632,1
10608,0
56234,1
68171,1
58696,1
24783,0
87908,1
33971,0
56048,1
99165,1
10770,0
88451,1
7730,0
64123,1
53325,1
59584,1
42284,0
30718,0
86303,1
82085,1
31337,0
60998,1
503,0
17339,0
10125,0
25294,0
38834,0
52993,1
38255,0
43563,0
74205,1
24181,0
96966,1
31374,0
97185,1
20396,0
64952,1
4895,0
40906,0
67152,1
18702,0
20784,0
85873,1
1239,0
5943,0
25973,0
21205,0
27394,0
24092,0
76767,1
42373,0
93552,1
97085,1
36325,0
24086,0
46730,0
99741,1
89623,1
48060,0
69535,1
93039,1
79848,1
10861,0
81128,1
55815,1
85411,1
28162,0
54769,1
18168,0
32611,0
58028,1
58194,1
1887,0
44976,0
50855,1
58170,1
24794,0
66809,1
74725,1
87250,1
80027,1
91678,1
48086,0
43837,0
88703,1
12611,0
6206,0
32910,0
68222,1
57510,1
58296,1
91122,1
55744,1
7615,0
50542,1
46630,0
65662,1
74952,1
87619,1
57511,1
24001,0
